;;;;Initialisation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Image 1;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;Image 4;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;;;;
;;;;Otsu;;;;;;0,0307515;;;;;0,26466;;;;;0,0385001;;;;;0,0803506;;;;;;;;Otsu;;;;;;0,0424602;;;;;0,147303;;;;;0,0133024;;;;;0,0513289;;;;;;;;;;;
;;;;K-means (k=2);;;;;;0,0308984;;;;;0,267192;;;;;0,0387009;;;;;0,0793621;;;;;;;;K-means (k=2);;;;;;0,0420671;;;;;0,145145;;;;;0,0125633;;;;;0,0513602;;;;;;;;;;;
;;;;EM-GMM (k=2);;;;;;0,0305648;;;;;0,261392;;;;;0,0382529;;;;;0,081608;;;;;;;;EM-GMM (k=2);;;;;;0,0407566;;;;;0,136167;;;;;0,0102742;;;;;0,052472;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Image 2;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;Image 5;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;;;;
;;;;Otsu;;;;;;0,0293218;;;;;0,373293;;;;;0,054652;;;;;0,124376;;;;;;;;Otsu;;;;;;0,037086;;;;;0,216513;;;;;0,0138978;;;;;0,0626164;;;;;;;;;;;
;;;;K-means (k=2);;;;;;0,0293218;;;;;0,373293;;;;;0,054652;;;;;0,124376;;;;;;;;K-means (k=2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;EM-GMM (k=2);;;;;;0,010789;;;;;0,321058;;;;;0,0211362;;;;;0,140498;;;;;;;;EM-GMM (k=2);;;;;;0,0343141;;;;;0,190501;;;;;0,00456055;;;;;0,0782783;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Image 3;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;Image 6;;;;;;c0;;;;;c1;;;;;s0;;;;;s1;;;;;;;;;;;
;;;;Otsu;;;;;;0,0422978;;;;;0,105043;;;;;0,0104066;;;;;0,0269333;;;;;;;;Otsu;;;;;;0,270483;;;;;0,00657006;;;;;0,0228327;;;;;0,0916426;;;;;;;;;;;
;;;;K-means (k=2);;;;;;0,0422978;;;;;0,105043;;;;;0,0104066;;;;;0,0269333;;;;;;;;K-means (k=2);;;;;;0,270483;;;;;0,00657006;;;;;0,0228327;;;;;0,0916426;;;;;;;;;;;
;;;;EM-GMM (k=2);;;;;;0,042026;;;;;0,103124;;;;;0,0100784;;;;;0,0273395;;;;;;;;EM-GMM (k=2);;;;;;0;;;;;0,187883;;;;;0;;;;;0,133022;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Image;;;Seg State;;;;;Input;;;;;;;;;;;;;Final;;;;;;;;;;;;;;;;;;;;;;;;;;Calculated;;;;;;;;;;;;;;;;;
;;;;;;;;;u;;;a;;;l1;;;l0;;;;c0;;;;;c1;;;;;d = c1-c0;;;;;s0;;;;;s1;;;;;;pe;;;h;;;l1 UB;;;u LB;;;%d_pe;;;%d_h;;
